ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
118,2014,2014-12-14,14,28.236,SEA,,SFO,W 17-7,*,21,91,4.33,1,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
119,2014,2014-12-21,15,28.243,SEA,@,ARI,W 35-6,,10,113,11.30,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
120,2014,2014-12-28,16,28.250,SEA,,STL,W 20-6,*,14,60,4.29,1,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
121,2015,2015-09-13,1,29.144,SEA,@,STL,L 31-34,*,18,73,4.06,0,7,5,31,6.20,0,71.4%,4.43,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0
122,2015,2015-09-20,2,29.151,SEA,@,GNB,L 17-27,*,15,41,2.73,0,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
123,2015,2015-09-27,3,29.158,SEA,,CHI,W 26-0,,5,14,2.80,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
124,2015,2015-10-18,6,29.179,SEA,,CAR,L 23-27,*,17,54,3.18,1,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
125,2015,2015-10-22,7,29.183,SEA,@,SFO,W 20-3,*,27,122,4.52,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
126,2015,2015-11-01,8,29.193,SEA,@,DAL,W 13-12,*,21,71,3.38,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
127,2015,2015-11-15,9,29.207,SEA,,ARI,L 32-39,*,8,42,5.25,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
128,2017,2017-09-10,1,31.141,OAK,@,TEN,W 26-16,*,18,76,4.22,0,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
129,2017,2017-09-17,2,31.148,OAK,,NYJ,W 45-20,*,12,45,3.75,1,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
130,2017,2017-09-24,3,31.155,OAK,@,WAS,L 10-27,*,6,18,3.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
131,2017,2017-10-01,4,31.162,OAK,@,DEN,L 10-16,*,9,12,1.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
132,2017,2017-10-08,5,31.169,OAK,,BAL,L 17-30,*,12,43,3.58,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
133,2017,2017-10-15,6,31.176,OAK,,LAC,L 16-17,*,13,63,4.85,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
134,2017,2017-10-19,7,31.180,OAK,,KAN,W 31-30,*,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
