ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
168,2016,2016-11-13,9,36.322,ARI,,SFO,W 23-20,*,30,49,61.22,376,1,2,74.9,2,13,7.67,6.24,1,16,16.00,0,,0,0,0.0,0,0
169,2016,2016-11-20,10,36.329,ARI,@,MIN,L 24-30,*,20,38,52.63,198,2,2,63.3,4,43,5.21,3.89,1,11,11.00,0,,0,0,0.0,0,0
170,2016,2016-11-27,11,36.336,ARI,@,ATL,L 19-38,*,25,45,55.56,289,2,1,80.7,2,15,6.42,6.31,1,0,0.00,0,,0,0,0.0,0,0
171,2016,2016-12-04,12,36.343,ARI,,WAS,W 31-23,*,30,46,65.22,300,3,0,105.3,2,19,6.52,7.83,1,-1,-1.00,0,,0,0,0.0,0,0
172,2016,2016-12-11,13,36.350,ARI,@,MIA,L 23-26,*,18,33,54.55,145,2,2,60.8,3,20,4.39,2.88,3,5,1.67,0,,0,0,0.0,0,0
173,2016,2016-12-18,14,36.357,ARI,,NOR,L 41-48,*,28,40,70.00,318,2,0,110.2,1,9,7.95,8.95,0,0,,0,,0,0,0.0,0,0
174,2016,2016-12-24,15,36.363,ARI,@,SEA,W 34-31,*,16,26,61.54,284,1,0,111.7,1,8,10.92,11.69,1,-1,-1.00,0,,0,0,0.0,0,0
175,2016,2017-01-01,16,37.005,ARI,@,LAR,W 44-6,*,20,38,52.63,255,3,1,89.3,1,3,6.71,7.11,0,0,,0,,0,0,0.0,0,0
176,2017,2017-09-10,1,37.257,ARI,@,DET,L 23-35,*,27,48,56.25,268,1,3,53.1,1,5,5.58,3.19,1,2,2.00,0,,0,0,0.0,0,0
177,2017,2017-09-17,2,37.264,ARI,@,IND,W 16-13,*,19,36,52.78,332,1,1,82.2,4,26,9.22,8.53,3,6,2.00,0,,0,0,0.0,0,0
178,2017,2017-09-25,3,37.272,ARI,,DAL,L 17-28,*,29,48,60.42,325,2,0,94.5,6,42,6.77,7.60,3,7,2.33,0,,0,0,0.0,0,0
179,2017,2017-10-01,4,37.278,ARI,,SFO,W 18-15,*,33,51,64.71,357,1,1,83.5,6,40,7.00,6.51,2,1,0.50,0,,0,0,0.0,0,0
180,2017,2017-10-08,5,37.285,ARI,@,PHI,L 7-34,*,28,44,63.64,291,1,0,90.2,2,15,6.61,7.07,0,0,,0,,0,0,0.0,0,0
181,2017,2017-10-15,6,37.292,ARI,,TAM,W 38-33,*,18,22,81.82,283,3,1,139.4,2,11,12.86,13.55,5,-4,-0.80,0,,0,0,0.0,0,0
182,2017,2017-10-22,7,37.299,ARI,@,LAR,L 0-33,*,10,18,55.56,122,0,1,53.5,1,11,6.78,4.28,0,0,,0,,0,0,0.0,0,0
