ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
47,2011,2011-09-11,1,26.117,ATL,@,CHI,L 12-30,*,31,47,65.96,319,0,1,76.5,5,43,6.79,5.83,0,0,,0,,0,0,0.0,0,0
48,2011,2011-09-18,2,26.124,ATL,,PHI,W 35-31,*,17,28,60.71,195,4,2,91.5,4,15,6.96,6.61,4,6,1.50,0,,0,0,0.0,0,0
49,2011,2011-09-25,3,26.131,ATL,@,TAM,L 13-16,*,26,47,55.32,330,1,1,75.7,4,35,7.02,6.49,1,12,12.00,0,,0,0,0.0,0,0
50,2011,2011-10-02,4,26.138,ATL,@,SEA,W 30-28,*,28,42,66.67,291,1,0,94.4,0,0,6.93,7.40,4,26,6.50,0,,0,0,0.0,0,0
51,2011,2011-10-09,5,26.145,ATL,,GNB,L 14-25,*,18,32,56.25,167,1,2,55.1,1,11,5.22,3.03,3,9,3.00,0,,0,0,0.0,0,0
52,2011,2011-10-16,6,26.152,ATL,,CAR,W 31-17,*,14,22,63.64,163,1,0,101.1,1,4,7.41,8.32,3,7,2.33,1,,1,6,0.0,0,0
53,2011,2011-10-23,7,26.159,ATL,@,DET,W 23-16,*,20,34,58.82,218,1,2,63.1,3,19,6.41,4.35,3,2,0.67,1,,1,6,0.0,0,0
54,2011,2011-11-06,8,26.173,ATL,@,IND,W 31-7,*,14,24,58.33,275,3,1,120.7,1,6,11.46,12.08,2,0,0.00,0,,0,0,0.0,0,0
55,2011,2011-11-13,9,26.180,ATL,,NOR,L 23-26,*,29,52,55.77,351,2,1,81.5,1,8,6.75,6.65,1,9,9.00,0,,0,0,0.0,0,0
56,2011,2011-11-20,10,26.187,ATL,,TEN,W 23-17,*,22,32,68.75,316,1,0,110.9,0,0,9.88,10.50,6,3,0.50,0,,0,0,0.0,1,0
57,2011,2011-11-27,11,26.194,ATL,,MIN,W 24-14,*,27,34,79.41,262,3,0,128.2,2,16,7.71,9.47,4,3,0.75,0,,0,0,0.0,0,0
58,2011,2011-12-04,12,26.201,ATL,@,HOU,L 10-17,*,20,47,42.55,267,1,2,50.6,0,0,5.68,4.19,1,10,10.00,0,,0,0,0.0,0,0
59,2011,2011-12-11,13,26.208,ATL,@,CAR,W 31-23,*,22,38,57.89,320,4,0,120.5,3,12,8.42,10.53,3,0,0.00,0,,0,0,0.0,0,0
60,2011,2011-12-15,14,26.212,ATL,,JAX,W 41-14,*,19,26,73.08,224,3,0,137.3,1,4,8.62,10.92,0,0,,0,,0,0,0.0,0,0
61,2011,2011-12-26,15,26.223,ATL,@,NOR,L 16-45,*,34,52,65.38,373,1,0,92.9,0,0,7.17,7.56,2,-3,-1.50,0,,0,0,0.0,0,0
62,2011,2012-01-01,16,26.229,ATL,,TAM,W 45-24,*,6,9,66.67,106,2,0,146.3,0,0,11.78,16.22,0,0,,0,,0,0,0.0,0,0
63,2012,2012-09-09,1,27.115,ATL,@,KAN,W 40-24,*,23,31,74.19,299,3,0,136.4,1,7,9.65,11.58,3,25,8.33,1,,1,6,0.0,0,0
64,2012,2012-09-17,2,27.123,ATL,,DEN,W 27-21,*,24,36,66.67,219,2,0,101.5,1,11,6.08,7.19,6,19,3.17,0,,0,0,0.0,0,0
65,2012,2012-09-23,3,27.129,ATL,@,SDG,W 27-3,*,30,40,75.00,275,3,1,107.8,2,10,6.88,7.25,1,4,4.00,0,,0,0,0.0,0,0
66,2012,2012-09-30,4,27.136,ATL,,CAR,W 30-28,*,25,40,62.50,369,3,1,107.2,7,64,9.23,9.60,0,0,,0,,0,0,0.0,0,0
67,2012,2012-10-07,5,27.143,ATL,@,WAS,W 24-17,*,34,52,65.38,345,2,1,89.0,1,7,6.63,6.54,5,7,1.40,0,,0,0,0.0,0,0
68,2012,2012-10-14,6,27.150,ATL,,OAK,W 23-20,*,24,37,64.86,249,1,3,59.4,1,8,6.73,3.62,1,15,15.00,0,,0,0,0.0,0,0
69,2012,2012-10-28,7,27.164,ATL,@,PHI,W 30-17,*,22,29,75.86,262,3,0,137.4,2,16,9.03,11.10,3,18,6.00,0,,0,0,0.0,0,0
70,2012,2012-11-04,8,27.171,ATL,,DAL,W 19-13,*,24,34,70.59,342,0,0,102.8,3,12,10.06,10.06,1,8,8.00,0,,0,0,0.0,0,0
