ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
104,1986,1986-12-14,15,31.282,MIN,@,HOU,L 10-23,*,3,13,23.08,47,1,0,67.8,1,0,3.62,5.15,0,0,,0,0,0,,0,0,0
105,1987,1987-11-08,8,32.246,MIN,,RAI,W 31-20,*,5,16,31.25,54,0,0,42.2,1,7,3.38,3.38,4,18,4.50,1,0,0,,0,1,6
106,1987,1987-11-15,9,32.253,MIN,,TAM,W 23-17,,4,9,44.44,30,1,1,50.5,0,0,3.33,0.56,2,-2,-1.00,0,0,0,,0,0,0
107,1987,1987-11-22,10,32.260,MIN,,ATL,W 24-13,*,5,9,55.56,43,0,0,68.3,1,3,4.78,4.78,0,0,,0,0,0,,0,0,0
108,1987,1987-11-26,11,32.264,MIN,@,DAL,W 44-38,*,9,18,50.00,123,2,1,86.1,2,11,6.83,6.56,1,1,1.00,1,0,0,,0,1,6
109,1987,1987-12-06,12,32.274,MIN,,CHI,L 24-30,*,10,20,50.00,91,0,1,41.9,3,14,4.55,2.30,1,15,15.00,0,0,0,,0,0,0
110,1987,1987-12-13,13,32.281,MIN,@,GNB,L 10-16,*,7,9,77.78,111,1,0,155.1,0,0,12.33,14.56,2,12,6.00,0,0,0,,0,0,0
111,1988,1988-09-11,2,33.188,MIN,,NWE,W 36-6,*,12,27,44.44,209,1,1,68.3,3,17,7.74,6.81,3,4,1.33,0,0,0,,0,0,0
112,1988,1988-09-18,3,33.195,MIN,@,CHI,W 31-7,*,15,25,60.00,258,3,1,118.0,1,9,10.32,10.92,2,5,2.50,0,0,0,,0,0,0
113,1988,1988-09-25,4,33.202,MIN,,PHI,W 23-21,*,17,34,50.00,299,0,1,68.1,5,34,8.79,7.47,3,3,1.00,0,0,0,,0,0,0
114,1988,1988-10-02,5,33.209,MIN,@,MIA,L 7-24,*,13,33,39.39,220,0,4,23.1,0,0,6.67,1.21,1,2,2.00,0,0,0,,0,0,0
115,1988,1988-10-09,6,33.216,MIN,,TAM,W 14-13,*,19,30,63.33,209,1,1,81.1,2,2,6.97,6.13,1,0,0.00,0,0,0,,0,0,0
116,1988,1988-10-16,7,33.223,MIN,,GNB,L 14-34,*,3,12,25.00,37,0,0,39.9,0,0,3.08,3.08,0,0,,0,0,0,,0,0,0
117,1988,1988-11-13,11,33.251,MIN,@,DAL,W 43-3,,1,3,33.33,11,0,0,45.1,0,0,3.67,3.67,0,0,,0,0,0,,0,0,0
